x,y,z
76,20,0
49,49,0
33,63,0
79,97,1
7,75,0
93,15,1
55,39,0
100,77,1
63,52,1
85,89,1
97,46,1
82,45,1
35,44,0
76,76,1
92,10,1
46,66,1
54,48,1
61,79,1
3,87,0
94,67,1
91,88,1
98,50,1
77,95,1
96,65,1
54,83,1
0,64,0
29,9,0
62,43,1
47,41,0
43,26,0
25,69,0
52,9,0
11,25,0
99,55,1
19,50,0
71,84,1
68,50,1
87,72,1
40,7,0
5,9,0
68,0,0
57,1,0
76,42,1
58,60,1
29,33,0
69,9,0
48,48,0
62,51,1
88,83,1
21,95,1
92,29,1
43,13,0
79,0,0
80,13,0
59,79,1
44,88,1
97,40,1
44,73,1
68,66,1
28,2,0
90,26,1
42,82,1
64,79,1
37,1,0
30,35,0
14,20,0
11,0,0
65,34,0
60,76,1
57,75,1
40,83,1
56,9,0
94,87,1
16,88,1
72,63,1
60,27,0
17,35,0
90,9,0
72,30,1
28,6,0
97,30,1
9,81,0
30,88,1
53,78,1
42,10,0
67,83,1
90,2,0
9,4,0
9,93,1
17,88,1
98,75,1
0,33,0
20,43,0
3,3,0
11,28,0
90,2,0
6,97,1
59,19,0
92,78,1
20,58,0
62,92,1
8,14,0
99,91,1
78,49,1
96,9,1
68,88,1
88,78,1
35,7,0
66,55,1
49,63,1
67,11,0
3,73,0
87,33,1
1,31,0
97,81,1
75,17,0
9,43,0
83,8,0
76,97,1
26,84,1
28,97,1
94,99,1
4,53,0
1,8,0
59,23,0
11,38,0
84,31,1
18,63,0
61,97,1
66,86,1
72,6,0
72,90,1
82,90,1
68,21,0
3,70,0
45,3,0
64,73,1
14,87,1
33,74,1
11,5,0
38,0,0
45,9,0
60,15,0
24,94,1
0,20,0
46,73,1
37,73,1
21,59,0
20,86,1
91,95,1
54,20,0
56,98,1
45,71,1
73,47,1
30,53,0
8,19,0
78,64,1
58,94,1
22,79,1
52,95,1
54,41,0
75,19,0
65,57,1
83,67,1
28,7,0
18,98,1
77,43,1
80,28,1
52,39,0
55,99,1
71,76,1
70,87,1
63,32,0
64,63,1
39,62,1
67,30,0
18,43,0
40,55,0
85,71,1
42,50,0
50,31,0
47,17,0
59,65,1
99,90,1
71,36,1
29,51,0
91,14,1
30,30,0
79,43,1
9,65,0
0,27,0
77,17,0
1,29,0
88,70,1
27,80,1
64,26,0
66,31,0
40,0,0
61,36,0
67,95,1
88,38,1
30,32,0
82,12,0
40,51,0
44,82,1
32,35,0
14,94,1
35,35,0
7,30,0
18,80,0
54,69,1
4,68,0
46,93,1
64,8,0
97,45,1
66,79,1
55,62,1
34,17,0
82,50,1
100,86,1
95,48,1
100,2,1
48,70,1
71,49,1
39,37,0
74,47,1
18,14,0
67,75,1
31,77,1
48,29,0
82,5,0
87,95,1
78,86,1
77,72,1
75,65,1
56,76,1
5,24,0
94,62,1
81,49,1
21,15,0
60,82,1
0,98,0
48,59,1
83,9,0
100,56,1
68,54,1
59,83,1
56,2,0
40,22,0
34,50,0
80,45,1
16,49,0
32,16,0
29,68,0
0,38,0
87,67,1
42,51,0
84,7,0
71,0,0
56,36,0
44,57,1
58,98,1
12,98,1
91,27,1
56,7,0
2,27,0
74,55,1
36,97,1
85,90,1
92,96,1
46,65,1
89,89,1
28,88,1
8,23,0
49,57,1
97,86,1
22,56,0
47,48,0
73,68,1
15,91,1
92,27,1
85,57,1
7,64,0
25,86,1
88,4,0
41,87,1
71,45,1
55,77,1
5,57,0
24,52,0
67,62,1
58,58,1
87,14,1
54,62,1
94,50,1
69,24,0
63,2,0
36,70,1
21,11,0
44,49,0
62,79,1
21,68,0
35,0,0
63,57,1
94,50,1
60,38,0
29,100,1
90,52,1
61,9,0
26,89,1
74,28,1
73,63,1
88,85,1
36,21,0
86,70,1
35,94,1
84,89,1
98,75,1
53,41,0
61,76,1
77,49,1
49,87,1
1,20,0
43,64,1
32,24,0
90,71,1
45,13,0
78,18,0
29,6,0
30,41,0
78,34,1
86,64,1
67,86,1
100,52,1
89,95,1
83,48,1
49,99,1
10,33,0
81,39,1
