Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
63;Halo: Reach;X360;2010;Shooter;Microsoft Game Studios;703;198;8;78;988
64;Mario Kart 64;N64;1996;Racing;Nintendo;555;194;223;15;987
65;New Super Mario Bros. 2;3DS;2012;Platform;Nintendo;366;307;247;63;982
66;Halo 4;X360;2012;Shooter;Microsoft Game Studios;663;236;4;73;976
67;Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment;301;247;328;96;972
68;Call of Duty: Ghosts;PS3;2013;Shooter;Activision;409;373;38;138;959
69;Just Dance 2;Wii;2010;Misc;Ubisoft;584;289;1;78;952
70;Gran Turismo 2;PS;1999;Racing;Sony Computer Entertainment;388;342;169;5;949
71;Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision;591;238;13;9;932
72;Donkey Kong Country;SNES;1994;Platform;Nintendo;436;171;3;23;93
73;Minecraft;X360;2013;Misc;Microsoft Game Studios;558;283;2;77;92
74;Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo;201;232;436;41;909
75;Mario Party DS;DS;2007;Misc;Nintendo;446;188;198;7;902
1;Wii Sports;Wii;2006;Sports;Nintendo;4149;2902;377;846;8274
76;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;503;286;1;85;884
77;Super Mario Kart;SNES;1992;Racing;Nintendo;354;124;381;18;876
80;Halo 2;XB;2004;Shooter;Microsoft Game Studios;682;153;5;8;849
79;Wii Party;Wii;2010;Misc;Nintendo;179;353;249;68;849
78;FIFA 16;PS4;2015;Sports;Electronic Arts;111;606;6;126;849
81;Mario Party 8;Wii;2007;Misc;Nintendo;381;23;158;73;842
82;Pokemon Black 2/Pokemon White 2;DS;2012;Role-Playing;Nintendo;291;186;314;43;833
83;FIFA Soccer 13;PS3;2012;Action;Electronic Arts;106;505;13;201;824
84;The Sims 3;PC;2009;Simulation;Electronic Arts;98;642;0;71;811
